id;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;columna_asientos;precio_entrada;evento_tipo_nombre;evento_tipo_descripcion;estado;ultima_actualizacion
1;whose;saturate;apologise midwife around;2025-11-10T23:06:02;ugh;ugh and;24671;11555;24181.42;inasmuch;given rigidly;majority remarkable shadowbox;2025-11-10T23:47:01
2;only neglect connect;but next;fooey wildly regarding;2025-11-11T03:11:55;lest helpful catalyst;ugh gosh technologist;7437;12507;7484.54;however because;how tribe who;whose deceivingly;2025-11-11T18:25:29
3;besides version;barring informal down;ew;2025-11-11T14:23:06;times interestingly blossom;denitrify helpfully;23388;2871;28598.53;internalise not;below;usefully;2025-11-11T10:53:01
4;pace whether although;untrue incidentally;meanwhile;2025-11-10T22:33:07;why;hidden meanwhile;4180;2907;21681.13;hmph;tough ski intently;whenever lecture;2025-11-11T05:01:31
5;right charming scarification;equal yieldingly famously;until vista below;2025-11-11T18:12:44;brr;private;154;25586;27692.59;unlined how than;for regarding criminal;reproach upside-down;2025-11-11T04:56:35
6;uh-huh hence whoa;phew ignorance energetically;overproduce swing;2025-11-10T23:25:15;reasoning gee;gah humble responsibility;15364;11923;19685.36;zowie that dally;department;excess;2025-11-11T00:10:15
7;midst nor;after;whose once;2025-11-11T14:37:12;curly volleyball behind;besides;1202;3156;2762;gee;steel;greedy conjecture lowball;2025-11-11T04:31:00
8;pricey apud supposing;never vulgarise instead;uncover making;2025-11-11T03:43:52;furthermore;dental between;30720;31004;6635.88;meh;confound um;inasmuch ha excepting;2025-11-10T22:56:25
9;amid brown hurtful;redevelop thyme monthly;oof meh humble;2025-11-11T13:35:32;duh;animated;7207;24256;32654.2;quaff;absent across;with plus yet;2025-11-11T16:36:40
10;cross;baggy with delightfully;taro excellent cantaloupe;2025-11-11T14:38:02;fundraising;until brr sugary;13758;11818;31832.64;lounge;next sometimes;mmm out geez;2025-11-11T15:17:59
