id;venta_id_catedra;fecha_venta;precio_venta;resultado;descripcion;cantidad_asientos;estado
1;25406;2025-11-11;10542.2;true;ack fortunately old-fashioned;28223;furthermore
2;20341;2025-11-11;30461.01;false;whoa formal ick;24588;oddball that solvency
3;22776;2025-11-11;28293.72;false;anenst tail upbeat;4718;dusk
4;7867;2025-11-11;27372;false;but gosh until;27630;hence
5;19406;2025-11-11;1794.45;false;um proselytise;19269;across gentle
6;25483;2025-11-11;30565.71;true;flustered whenever;13350;stiff gee pillbox
7;18009;2025-11-11;12772.66;true;but volleyball;668;jumbo phew
8;1473;2025-11-11;29212.82;false;black;7877;hourly
9;31605;2025-11-11;19699.58;true;construe frankly;13733;per pecan within
10;19201;2025-11-11;14993.29;false;joyfully;8893;gah
